Date,Time,RSSI(dB),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-11-07,21:59:20.880,74,176,51,-323,10,-108,204,-2,0,0,-1020,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:21.380,75,291,-61,-169,308,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:21.880,71,396,-192,-123,328,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:22.380,84,441,-279,-103,397,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:22.880,91,249,-81,-119,-24,-108,204,-1,0,0,-1017,1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:23.380,88,38,6,-179,-177,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:23.880,81,-280,-70,-320,-497,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:24.380,79,-323,-317,-25,-447,-108,204,-2,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:24.880,70,-212,-169,-215,-87,-109,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:25.380,80,-170,-67,-176,-110,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:25.880,74,-16,4,-317,227,-108,204,-1,0,0,-1020,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2019-11-07,21:59:26.380,90,-369,-151,-285,-508,-108,204,-1,0,0,-1019,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
